doi,title,year,container,authors,URL,source
10.1002/hec.4450,Rationing of a scarce life‐saving resource: Public preferences for prioritizing COVID‐19 vaccination,2021,Health Economics,Jeroen Luyten; Sandy Tubeuf; Roselinde Kessels,https://doi.org/10.1002/hec.4450,crossref
10.1002/pmj.21409,What you Should Know about Megaprojects and Why: An Overview,2014,Project Management Journal,Bent Flyvbjerg,https://doi.org/10.1002/pmj.21409,crossref
10.1002/smj.970,Explaining temporal orientation: Evidence from the durability of firms' capital investments,2011,Strategic Management Journal,David Souder; Philip Bromiley,https://doi.org/10.1002/smj.970,crossref
10.1006/jcec.2000.1693,Infrastructure Development and Economic Growth: An Explanation for Regional Disparities in China?,2001,Journal of Comparative Economics,Sylvie Démurger,https://doi.org/10.1006/jcec.2000.1693,crossref
10.1007/bf00976857,Measuring the economic impact of institutions of higher education,1988,Research in Higher Education,Donald S. Elliott; Stanford L. Levin; John B. Meisel,https://doi.org/10.1007/bf00976857,crossref
10.1007/bf01053226,On proportional non-representation,1994,Public Choice,Gianluigi Galeotti,https://doi.org/10.1007/bf01053226,crossref
10.1007/bf01718854,Economic competition and political competition,1972,Public Choice,George J. Stigler,https://doi.org/10.1007/bf01718854,crossref
10.1007/s10110-003-0183-x,"Cities, regions and the decline of transport costs",2004,Papers in Regional Science,Edward L. Glaeser; Janet E. Kohlhase,https://doi.org/10.1007/s10110-003-0183-x,crossref
10.1007/s10640-011-9498-2,"Foreign Direct Investment, Human Capital and Environmental Pollution in China",2011,Environmental and Resource Economics,Jing Lan; Makoto Kakinaka; Xianguo Huang,https://doi.org/10.1007/s10640-011-9498-2,crossref
10.1007/s10734-012-9562-z,Measuring the local economic impact of universities: an approach that considers uncertainty,2012,Higher Education,José Manuel Pastor; Francisco Pérez; Juan Fernández de Guevara,https://doi.org/10.1007/s10734-012-9562-z,crossref
10.1007/s10887-007-9011-5,"Growth and human capital: good data, good results",2007,Journal of Economic Growth,Daniel Cohen; Marcelo Soto,https://doi.org/10.1007/s10887-007-9011-5,crossref
10.1007/s11356-017-0468-2,The impact of foreign direct investment on CO2 emissions in Turkey: new evidence from cointegration and bootstrap causality analysis,2017,Environmental Science and Pollution Research,Emrah Koçak; Aykut Şarkgüneşi,https://doi.org/10.1007/s11356-017-0468-2,crossref
10.1007/s11356-018-3525-6,The impact of hydropower energy consumption on economic growth and CO2 emissions in China,2018,Environmental Science and Pollution Research,Mallesh Ummalla; Asharani Samal,https://doi.org/10.1007/s11356-018-3525-6,crossref
10.1007/s11356-021-13041-2,Towards a green economic policy framework in China: role of green investment in fostering clean energy consumption and environmental sustainability,2021,Environmental Science and Pollution Research,Israt Zahan; Shuai Chuanmin,https://doi.org/10.1007/s11356-021-13041-2,crossref
10.1007/s11356-023-26812-w,"Revisiting the environmental impact of renewable energy, non-renewable energy, remittances, and economic growth: CO2 emissions versus ecological footprint for top remittance-receiving countries",2023,Environmental Science and Pollution Research,Muhammad Umair; Muhammad Uzair Yousuf; Jabbar Ul-Haq; Zahid Hussain; Hubert Visas,https://doi.org/10.1007/s11356-023-26812-w,crossref
10.1016/0304-3932(89)90002-0,Does public capital crowd out private capital?,1989,Journal of Monetary Economics,David Alan Aschauer,https://doi.org/10.1016/0304-3932(89)90002-0,crossref
10.1016/0304-3932(89)90047-0,Is public expenditure productive?,1989,Journal of Monetary Economics,David Alan Aschauer,https://doi.org/10.1016/0304-3932(89)90047-0,crossref
10.1016/0304-3932(93)90025-b,Fiscal policy and economic growth,1993,Journal of Monetary Economics,William Easterly; Sergio Rebelo,https://doi.org/10.1016/0304-3932(93)90025-b,crossref
10.1016/0304-3932(94)90047-7,The role of human capital in economic development evidence from aggregate cross-country data,1994,Journal of Monetary Economics,Jess Benhabib; Mark M. Spiegel,https://doi.org/10.1016/0304-3932(94)90047-7,crossref
10.1016/b978-0-12-554002-5.50015-7,"INVESTMENT IN HUMANS, TECHNOLOGICAL DIFFUSION, AND ECONOMIC GROWTH",1980,Studies in Macroeconomic Theory,Edmund S. Phelps,https://doi.org/10.1016/b978-0-12-554002-5.50015-7,crossref
10.1016/b978-0-444-59531-7.00020-x,Transportation Costs and the Spatial Organization of Economic Activity,2015,Handbook of Regional and Urban Economics,,https://doi.org/10.1016/b978-0-444-59531-7.00020-x,crossref
10.1016/j.apenergy.2015.10.049,Green growth: The economic impacts of large-scale renewable energy development in China,2016,Applied Energy,Hancheng Dai; Xuxuan Xie; Yang Xie; Jian Liu; Toshihiko Masui,https://doi.org/10.1016/j.apenergy.2015.10.049,crossref
10.1016/j.eap.2022.12.003,Economic consequences of climate change impacts on the agricultural sector of South Asia: A case study of Sri Lanka,2023,Economic Analysis and Policy,Walimuni Chamindri Sewanka Mendis Abeysekara; Mahinda Siriwardana; Samuel Meng,https://doi.org/10.1016/j.eap.2022.12.003,crossref
10.1016/j.ecolecon.2006.12.003,Examining the global environmental impact of regional consumption activities — Part 2: Review of input–output models for the assessment of environmental impacts embodied in trade,2007,Ecological Economics,Thomas Wiedmann; Manfred Lenzen; Karen Turner; John Barrett,https://doi.org/10.1016/j.ecolecon.2006.12.003,crossref
10.1016/j.ecolecon.2008.12.003,The economic impacts of drought on the economy of Iran: An integration of linear programming and macroeconometric modelling approaches,2009,Ecological Economics,Habibollah Salami; Naser Shahnooshi; Kenneth J. Thomson,https://doi.org/10.1016/j.ecolecon.2008.12.003,crossref
10.1016/j.ecolecon.2016.11.005,The Economic Impacts of Droughts: A Framework for Analysis,2017,Ecological Economics,Jaume Freire-González; Christopher Decker; Jim W. Hall,https://doi.org/10.1016/j.ecolecon.2016.11.005,crossref
10.1016/j.ecolecon.2016.11.012,"Commercial and biophysical deficits in South America, 1990–2013",2017,Ecological Economics,Pablo Samaniego; María Cristina Vallejo; Joan Martínez-Alier,https://doi.org/10.1016/j.ecolecon.2016.11.012,crossref
10.1016/j.econedurev.2006.07.010,The economic impact of colleges and universities,2007,Economics of Education Review,John J. Siegfried; Allen R. Sanderson; Peter McHenry,https://doi.org/10.1016/j.econedurev.2006.07.010,crossref
10.1016/j.econedurev.2013.04.005,Economic growth in developing countries: The role of human capital,2013,Economics of Education Review,Eric A. Hanushek,https://doi.org/10.1016/j.econedurev.2013.04.005,crossref
10.1016/j.econedurev.2017.02.001,Knowledge of earnings risk and major choice: Evidence from an information experiment,2017,Economics of Education Review,Alexander I. Ruder; Michelle Van Noy,https://doi.org/10.1016/j.econedurev.2017.02.001,crossref
10.1016/j.econedurev.2018.09.001,The economic impact of universities: Evidence from across the globe,2019,Economics of Education Review,Anna Valero; John Van Reenen,https://doi.org/10.1016/j.econedurev.2018.09.001,crossref
10.1016/j.econmod.2015.08.009,Foreign direct investment and economic growth: A real relationship or wishful thinking?,2015,Economic Modelling,Sasi Iamsiraroj; Mehmet Ali Ulubaşoğlu,https://doi.org/10.1016/j.econmod.2015.08.009,crossref
10.1016/j.econmod.2016.11.012,"Green versus brown: Comparing the employment impacts of energy efficiency, renewable energy, and fossil fuels using an input-output model",2017,Economic Modelling,Heidi Garrett-Peltier,https://doi.org/10.1016/j.econmod.2016.11.012,crossref
10.1016/j.econmod.2017.01.007,Modelling countervailing incentives in adverse selection models: A synthesis,2017,Economic Modelling,Iñaki Aguirre; Arantza Beitia,https://doi.org/10.1016/j.econmod.2017.01.007,crossref
10.1016/j.econmod.2017.01.014,A general equilibrium assessment of climate change–induced loss of agricultural productivity in Nepal,2017,Economic Modelling,Sudarshan Chalise; Athula Naranpanawa; Jayatilleke S. Bandara; Tapan Sarker,https://doi.org/10.1016/j.econmod.2017.01.014,crossref
10.1016/j.econmod.2020.02.043,High-speed rails and rural-urban migrants’ wages,2021,Economic Modelling,Dongmin Kong; Lihua Liu; Zhiqing Yang,https://doi.org/10.1016/j.econmod.2020.02.043,crossref
10.1016/j.eiar.2005.11.007,Analyzing impact factors of CO2 emissions using the STIRPAT model,2006,Environmental Impact Assessment Review,Ying Fan; Lan-Cui Liu; Gang Wu; Yi-Ming Wei,https://doi.org/10.1016/j.eiar.2005.11.007,crossref
10.1016/j.eiar.2020.106434,What is the influence of FDI and international people flows on environment and growth in OECD countries? A panel study,2020,Environmental Impact Assessment Review,Gianluigi De Pascale; Ruggiero Sardaro; Nicola Faccilongo; Francesco Contò,https://doi.org/10.1016/j.eiar.2020.106434,crossref
10.1016/j.ejor.2020.11.045,"Designing interagency responses to wicked problems: Creating a common, cross-agency understanding",2021,European Journal of Operational Research,Pamela Sydelko; Gerald Midgley; Angela Espinosa,https://doi.org/10.1016/j.ejor.2020.11.045,crossref
10.1016/j.enbuild.2016.03.015,"Design model for analysis of relationships among CO 2 emissions, cost, and structural parameters in green building construction with composite columns",2016,Energy and Buildings,Byung Kwan Oh; Jun Su Park; Se Woon Choi; Hyo Seon Park,https://doi.org/10.1016/j.enbuild.2016.03.015,crossref
10.1016/j.enbuild.2016.05.022,CO2 emission reduction effects of an innovative composite precast concrete structure applied to heavy loaded and long span buildings,2016,Energy and Buildings,Donghoon Lee; Chaeyeon Lim; Sunkuk Kim,https://doi.org/10.1016/j.enbuild.2016.05.022,crossref
10.1016/j.enbuild.2018.02.026,Experimental investigation on airflow pattern for active chilled beam system,2018,Energy and Buildings,Bingjie Wu; Wenjian Cai; Haoran Chen; Ke Ji,https://doi.org/10.1016/j.enbuild.2018.02.026,crossref
10.1016/j.enbuild.2025.115607,"Design optimization of a composite typology based on RC columns and THVS girders to reduce economic cost, emissions, and embodied energy of frame building construction",2025,Energy and Buildings,Iván Negrin; Moacir Kripka; Víctor Yepes,https://doi.org/10.1016/j.enbuild.2025.115607,crossref
10.1016/j.eneco.2007.09.001,"The impact of DOE building technology energy efficiency programs on U.S. employment, income, and investment",2008,Energy Economics,Michael J. Scott; Joseph M. Roop; Robert W. Schultz; David M. Anderson; Katherine A. Cort,https://doi.org/10.1016/j.eneco.2007.09.001,crossref
10.1016/j.eneco.2017.05.009,The impact of energy consumption and economic development on Ecological Footprint and CO2 emissions: Evidence from a Markov Switching Equilibrium Correction Model,2017,Energy Economics,Lanouar Charfeddine,https://doi.org/10.1016/j.eneco.2017.05.009,crossref
10.1016/j.eneco.2017.08.025,The local socio-economic impacts of large hydropower plant development in a developing country,2017,Energy Economics,Felipe A.M. de Faria; Alex Davis; Edson Severnini; Paulina Jaramillo,https://doi.org/10.1016/j.eneco.2017.08.025,crossref
10.1016/j.energy.2016.07.126,Impact of renewable and non-renewable energy consumption on economic growth: New evidence from the MENA Net Oil Exporting Countries (NOECs),2016,Energy,Montassar Kahia; Mohamed Safouane Ben Aïssa; Lanouar Charfeddine,https://doi.org/10.1016/j.energy.2016.07.126,crossref
10.1016/j.energy.2019.116300,Wind power forecast based on improved Long Short Term Memory network,2019,Energy,Li Han; Huitian Jing; Rongchang Zhang; Zhiyu Gao,https://doi.org/10.1016/j.energy.2019.116300,crossref
10.1016/j.engstruct.2025.121461,Life-cycle environmental impact optimization of an RC-THVS composite frame for sustainable construction,2025,Engineering Structures,Iván Negrin; Moacir Kripka; Víctor Yepes,https://doi.org/10.1016/j.engstruct.2025.121461,crossref
10.1016/j.enpol.2008.12.022,Economic impact of solar thermal electricity deployment in Spain,2009,Energy Policy,N. Caldés; M. Varela; M. Santamaría; R. Sáez,https://doi.org/10.1016/j.enpol.2008.12.022,crossref
10.1016/j.enpol.2009.10.014,Evaluating carbon dioxide emissions in international trade of China,2010,Energy Policy,Boqiang Lin; Chuanwang Sun,https://doi.org/10.1016/j.enpol.2009.10.014,crossref
10.1016/j.enpol.2009.10.027,Community action for sustainable housing: Building a low-carbon future,2010,Energy Policy,Gill Seyfang,https://doi.org/10.1016/j.enpol.2009.10.027,crossref
10.1016/j.enpol.2009.10.044,Putting renewables and energy efficiency to work: How many jobs can the clean energy industry generate in the US?,2010,Energy Policy,Max Wei; Shana Patadia; Daniel M. Kammen,https://doi.org/10.1016/j.enpol.2009.10.044,crossref
10.1016/j.enpol.2009.10.049,"Techno-economical analysis of off-grid hybrid systems at Kutubdia Island, Bangladesh",2010,Energy Policy,Sanjoy Kumar Nandi; Himangshu Ranjan Ghosh,https://doi.org/10.1016/j.enpol.2009.10.049,crossref
10.1016/j.enpol.2010.03.029,Economic impacts from the promotion of renewable energy technologies: The German experience,2010,Energy Policy,Manuel Frondel; Nolan Ritter; Christoph M. Schmidt; Colin Vance,https://doi.org/10.1016/j.enpol.2010.03.029,crossref
10.1016/j.enpol.2012.04.076,Green jobs? Economic impacts of renewable energy in Germany,2012,Energy Policy,Ulrike Lehr; Christian Lutz; Dietmar Edler,https://doi.org/10.1016/j.enpol.2012.04.076,crossref
10.1016/j.enpol.2013.01.047,The impact of clean energy investments on the Greek economy: An input–output analysis (2010–2020),2013,Energy Policy,M. Markaki; A. Belegri-Roboli; P. Michaelides; S. Mirasgedis; D.P. Lalas,https://doi.org/10.1016/j.enpol.2013.01.047,crossref
10.1016/j.enpol.2014.01.004,"The impacts of tourism, energy consumption and political instability on economic growth in the MENA countries",2014,Energy Policy,Chor Foon Tang; Salah Abosedra,https://doi.org/10.1016/j.enpol.2014.01.004,crossref
10.1016/j.enpol.2019.111124,DER integration through a monopoly DER aggregator,2020,Energy Policy,Nikos D. Hatziargyriou; Georgia E. Asimakopoulou,https://doi.org/10.1016/j.enpol.2019.111124,crossref
10.1016/j.enpol.2019.111161,Environmental and economic analysis of liquefied natural gas (LNG) for heavy goods vehicles in the UK: A Well-to-Wheel and total cost of ownership evaluation,2020,Energy Policy,Liam Langshaw; Daniel Ainalis; Salvador Acha; Nilay Shah; Marc E.J. Stettler,https://doi.org/10.1016/j.enpol.2019.111161,crossref
10.1016/j.enpol.2020.111425,"Energy investment, economic growth and carbon emissions in China—Empirical analysis based on spatial Durbin model",2020,Energy Policy,Jinying Li; Sisi Li,https://doi.org/10.1016/j.enpol.2020.111425,crossref
10.1016/j.enpol.2020.112031,Green jobs and energy efficiency as strategies for economic growth and the reduction of environmental impacts,2021,Energy Policy,Federico Dell’Anna,https://doi.org/10.1016/j.enpol.2020.112031,crossref
10.1016/j.enpol.2022.113000,Policy choices and outcomes for offshore wind auctions globally,2022,Energy Policy,Malte Jansen; Philipp Beiter; Iegor Riepin; Felix Müsgens; Victor Juarez Guajardo-Fajardo; Iain Staffell; Bernard Bulder; Lena Kitzing,https://doi.org/10.1016/j.enpol.2022.113000,crossref
