evidence_id,domain,asset_class,source_id,source_group,source_title,review_id,review_decision,primary_reviewed_flag,synthesis_use,evidence_role,metric_original,metric_family,phase,verified_value,verified_metric_definition,direct_vs_total,projected_vs_realised,geography,currency_price_year,page_or_location,source_url,source_raw_path,text_file,notes,context_quote,comparison_relevance,requires_source_spotcheck,manual_split_needed
ev_0001,data_centre,data_centre,dc_hamm_2025,workforce_forecast,Data Center Employment Forecast Analysis,dc_metric_0001,accept_scale,True,core_scale_benchmark,primary_citable_after_spotcheck,jobs_per_mw,jobs_per_mw,construction,0.7–2.0 (upper: 2.0),Construction workers per MW of capacity (range reported; 2.0 upper bound for typical requirements),direct,typical / industry range (projected),United States (various states; specific projects noted in quote),N/A (jobs/FTE or % effect),2.0,https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_hamm_2025.txt,Core general claim. Use 0.7-2.0 range or conservative mid for estimates. Construction phase is temporary stimulus.,"Construction requirements range from 0.7 -2.0 workers per MW, while operations employ 0.15-0.35 full-time equivalents (FTEs) per MW once online.",normalisable_job_intensity,True,True
ev_0003,data_centre,data_centre,dc_hamm_2025,workforce_forecast,Data Center Employment Forecast Analysis,dc_metric_0003,accept_scale,True,core_scale_benchmark,primary_citable_after_spotcheck,construction_jobs_peak,construction_jobs_headcount,construction,0.7–2.0 (upper: 2.0),Peak construction-phase workers per MW (range for requirements),direct,typical (projected),United States (various states; specific projects noted in quote),N/A (jobs/FTE or % effect),2.0,https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_hamm_2025.txt,Matches the general construction requirements range quote. Duplicate emphasis with jobs_per_mw row but different metric label.,"Construction requirements range from 0.7 -2.0 workers per MW, while operations employ 0.15-0.35 full-time equivalents (FTEs) per MW once online.",absolute_job_or_job_year_benchmark,True,True
ev_0004,data_centre,data_centre,dc_hamm_2025,workforce_forecast,Data Center Employment Forecast Analysis,dc_metric_0004,accept,True,core_job_or_causal_metric,primary_citable_after_spotcheck,jobs_per_mw,jobs_per_mw,construction,2.5,Peak construction jobs per MW for specific hyperscale project example (Meta Richland LA: 2.5; Vantage TX: 3.6; OpenAI Stargate TX: 1.3),direct (peak on-site construction workers),announced / projected (developer or contractor estimate),"Louisiana, US (Meta Richland Parish)",N/A (jobs/FTE or % effect),9.0,https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_hamm_2025.txt,"Project-specific example, not general average. Amazon note in source: mixes construction+ops jobs. Use for range illustration only.","• Meta Richland Parish (Louisiana): 2,000 MW capacity, 5,000+ peak construction workers = 2.5 jobs/MW (DPR Construction, n.d.) • OpenAI Stargate (Abilene, TX): 4,500 MW capacity, 6,000+ daily workers = 1.3 jobs/MW (O’brien, 2025) • Vantage Frontier (Texas): 1,400 MW capacity, 5,000+ construction jobs = 3.6 jobs/MW (Srivalli, 2025) • Amazon Project Rainier (Indiana): 2,200 MW capacity, $11 billion project with 1,000+ construction and operations jobs (Amazon, 2025; Reilly, 2025; WSBT 22, 2025) o Note: Amazon’s Project Rainier reports “1,000+ construction and operations jobs” without separating the two, so it is used as a secondary source.",normalisable_job_intensity,True,False
ev_0005,data_centre,data_centre,dc_hamm_2025,workforce_forecast,Data Center Employment Forecast Analysis,dc_metric_0005,accept,True,core_job_or_causal_metric,primary_citable_after_spotcheck,jobs_per_mw,jobs_per_mw,construction,3.6,Peak construction jobs per MW for specific hyperscale project example (Meta Richland LA: 2.5; Vantage TX: 3.6; OpenAI Stargate TX: 1.3),direct (peak on-site construction workers),announced / projected (developer or contractor estimate),"Texas, US (Vantage Frontier)",N/A (jobs/FTE or % effect),9.0,https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_hamm_2025.txt,"Project-specific example, not general average. Amazon note in source: mixes construction+ops jobs. Use for range illustration only.","• Meta Richland Parish (Louisiana): 2,000 MW capacity, 5,000+ peak construction workers = 2.5 jobs/MW (DPR Construction, n.d.) • OpenAI Stargate (Abilene, TX): 4,500 MW capacity, 6,000+ daily workers = 1.3 jobs/MW (O’brien, 2025) • Vantage Frontier (Texas): 1,400 MW capacity, 5,000+ construction jobs = 3.6 jobs/MW (Srivalli, 2025) • Amazon Project Rainier (Indiana): 2,200 MW capacity, $11 billion project with 1,000+ construction and operations jobs (Amazon, 2025; Reilly, 2025; WSBT 22, 2025) o Note: Amazon’s Project Rainier reports “1,000+ construction and operations jobs” without separating the two, so it is used as a secondary source.",normalisable_job_intensity,True,False
ev_0006,data_centre,data_centre,dc_hamm_2025,workforce_forecast,Data Center Employment Forecast Analysis,dc_metric_0006,accept,True,core_job_or_causal_metric,primary_citable_after_spotcheck,jobs_per_mw,jobs_per_mw,construction,1.3,Peak construction jobs per MW for specific hyperscale project example (Meta Richland LA: 2.5; Vantage TX: 3.6; OpenAI Stargate TX: 1.3),direct (peak on-site construction workers),announced / projected (developer or contractor estimate),"Texas, US (OpenAI Stargate Abilene)",N/A (jobs/FTE or % effect),9.0,https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_hamm_2025.txt,"Project-specific example, not general average. Amazon note in source: mixes construction+ops jobs. Use for range illustration only.","• Meta Richland Parish (Louisiana): 2,000 MW capacity, 5,000+ peak construction workers = 2.5 jobs/MW (DPR Construction, n.d.) • OpenAI Stargate (Abilene, TX): 4,500 MW capacity, 6,000+ daily workers = 1.3 jobs/MW (O’brien, 2025) • Vantage Frontier (Texas): 1,400 MW capacity, 5,000+ construction jobs = 3.6 jobs/MW (Srivalli, 2025) • Amazon Project Rainier (Indiana): 2,200 MW capacity, $11 billion project with 1,000+ construction and operations jobs (Amazon, 2025; Reilly, 2025; WSBT 22, 2025) o Note: Amazon’s Project Rainier reports “1,000+ construction and operations jobs” without separating the two, so it is used as a secondary source.",normalisable_job_intensity,True,False
ev_0009,data_centre,data_centre,dc_hamm_2025,workforce_forecast,Data Center Employment Forecast Analysis,dc_metric_0010,accept,True,core_job_or_causal_metric,primary_citable_after_spotcheck,construction_jobs_peak,jobs_per_mw,construction,1.3,Peak construction jobs per MW for specific hyperscale project example (Meta Richland LA: 2.5; Vantage TX: 3.6; OpenAI Stargate TX: 1.3),direct (peak on-site construction workers),announced / projected (developer or contractor estimate),"Texas, US (OpenAI Stargate Abilene)",N/A (jobs/FTE or % effect),9.0,https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_hamm_2025.txt,"Project-specific example, not general average. Amazon note in source: mixes construction+ops jobs. Use for range illustration only.","• Meta Richland Parish (Louisiana): 2,000 MW capacity, 5,000+ peak construction workers = 2.5 jobs/MW (DPR Construction, n.d.) • OpenAI Stargate (Abilene, TX): 4,500 MW capacity, 6,000+ daily workers = 1.3 jobs/MW (O’brien, 2025) • Vantage Frontier (Texas): 1,400 MW capacity, 5,000+ construction jobs = 3.6 jobs/MW (Srivalli, 2025) • Amazon Project Rainier (Indiana): 2,200 MW capacity, $11 billion project with 1,000+ construction and operations jobs (Amazon, 2025; Reilly, 2025; WSBT 22, 2025) o Note: Amazon’s Project Rainier reports “1,000+ construction and operations jobs” without separating the two, so it is used as a secondary source.",normalisable_job_intensity,True,False
ev_0010,data_centre,data_centre,dc_hamm_2025,workforce_forecast,Data Center Employment Forecast Analysis,dc_metric_0011,accept,True,core_job_or_causal_metric,primary_citable_after_spotcheck,construction_jobs_peak,jobs_per_mw,construction,3.6,Peak construction jobs per MW for specific hyperscale project example (Meta Richland LA: 2.5; Vantage TX: 3.6; OpenAI Stargate TX: 1.3),direct (peak on-site construction workers),announced / projected (developer or contractor estimate),"Texas, US (Vantage Frontier)",N/A (jobs/FTE or % effect),9.0,https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_hamm_2025.txt,"Project-specific example, not general average. Amazon note in source: mixes construction+ops jobs. Use for range illustration only.","• Meta Richland Parish (Louisiana): 2,000 MW capacity, 5,000+ peak construction workers = 2.5 jobs/MW (DPR Construction, n.d.) • OpenAI Stargate (Abilene, TX): 4,500 MW capacity, 6,000+ daily workers = 1.3 jobs/MW (O’brien, 2025) • Vantage Frontier (Texas): 1,400 MW capacity, 5,000+ construction jobs = 3.6 jobs/MW (Srivalli, 2025) • Amazon Project Rainier (Indiana): 2,200 MW capacity, $11 billion project with 1,000+ construction and operations jobs (Amazon, 2025; Reilly, 2025; WSBT 22, 2025) o Note: Amazon’s Project Rainier reports “1,000+ construction and operations jobs” without separating the two, so it is used as a secondary source.",normalisable_job_intensity,True,False
ev_0011,data_centre,data_centre,dc_hamm_2025,workforce_forecast,Data Center Employment Forecast Analysis,dc_metric_0013,accept,True,core_job_or_causal_metric,primary_citable_after_spotcheck,construction_jobs_peak,jobs_per_mw,construction,2.5,Peak construction jobs per MW for specific hyperscale project example (Meta Richland LA: 2.5; Vantage TX: 3.6; OpenAI Stargate TX: 1.3),direct (peak on-site construction workers),announced / projected (developer or contractor estimate),"Louisiana, US (Meta Richland Parish)",N/A (jobs/FTE or % effect),9.0,https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_hamm_2025.txt,"Project-specific example, not general average. Amazon note in source: mixes construction+ops jobs. Use for range illustration only.","• Meta Richland Parish (Louisiana): 2,000 MW capacity, 5,000+ peak construction workers = 2.5 jobs/MW (DPR Construction, n.d.) • OpenAI Stargate (Abilene, TX): 4,500 MW capacity, 6,000+ daily workers = 1.3 jobs/MW (O’brien, 2025) • Vantage Frontier (Texas): 1,400 MW capacity, 5,000+ construction jobs = 3.6 jobs/MW (Srivalli, 2025) • Amazon Project Rainier (Indiana): 2,200 MW capacity, $11 billion project with 1,000+ construction and operations jobs (Amazon, 2025; Reilly, 2025; WSBT 22, 2025) o Note: Amazon’s Project Rainier reports “1,000+ construction and operations jobs” without separating the two, so it is used as a secondary source.",normalisable_job_intensity,True,False
ev_0012,data_centre,data_centre,dc_hamm_2025,workforce_forecast,Data Center Employment Forecast Analysis,dc_metric_0014,accept,True,core_job_or_causal_metric,primary_citable_after_spotcheck,operational_jobs_fte,jobs_per_mw,operation,0.25,Operational jobs per MW (Meta examples: ~0.25 job/MW for large campus; or ~1 job/MW campus claim),direct,announced / projected,"Louisiana / Alabama, US (Meta)",N/A (jobs/FTE or % effect),9.0,https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_hamm_2025.txt,Meta Montgomery AL example also cited. Public claims may include non-core roles per source note.,"Examples include: • Meta Richland Parish (Louisiana): ~2,000 MW campus with 500+ operational jobs, $10B investment = 0.25 job/MW (DPR Construction, n.d.) • Meta Montgomery (Alabama): An $800 million AI-optimized data center is expected to support 100 operational jobs once complete.",normalisable_job_intensity,True,False
ev_0013,data_centre,data_centre,dc_hamm_2025,workforce_forecast,Data Center Employment Forecast Analysis,dc_metric_0018,accept,True,core_job_or_causal_metric,primary_citable_after_spotcheck,operational_jobs_fte,operational_jobs_fte,operation,100,"Operational jobs supported by specific AI-optimized data center project ($800M investment, Meta Montgomery AL example)",direct (or includes support roles per source caveat),announced / projected,"Alabama, US (Meta Montgomery)",N/A (jobs/FTE or % effect),9.0,https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,Research_Workflow/02_Source_Extraction/data/fulltext/dc_hamm_2025.txt,From source: Meta Montgomery $800M AI DC expected to support 100 operational jobs. Use alongside per-MW metrics; public claims may overstate core O&M.,"Examples include: • Meta Richland Parish (Louisiana): ~2,000 MW campus with 500+ operational jobs, $10B investment = 0.25 job/MW (DPR Construction, n.d.) • Meta Montgomery (Alabama): An $800 million AI-optimized data center is expected to support 100 operational jobs once complete.",absolute_job_or_job_year_benchmark,True,False
