record_id,source_id,asset_type,project_or_source_name,location,country,year,source_type,method,funding_or_bias_flag,capex_value,capex_currency,capex_price_year,capex_aud_2026,gfa_m2,capacity_mw,construction_jobs_peak,construction_jobs_average,construction_duration_months,construction_job_years,operations_jobs_fte,direct_jobs_only,total_supported_jobs,projected_or_realised,reported_or_derived,metric_notes,source_quote,page_or_location,source_url,full_text_file,confidence,ra_verification_status
cmp_src_0001_metric_001,cmp_src_0001,public_infrastructure_or_methods,Ramey (2020) *The Macroeconomic Consequences of Infrastructure Investment* [DOI: 10.3386/w27625],,,,web_or_other,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Asset: Public Works | Claim/benchmark to verify: Multipliers range from 0.5 to 1.5 depending on labour slack. | Quality note: High. NBER paper proving infrastructure jobs depend heavily on local unemployment rates.",,,,,unverified_candidate_source,not_started
cmp_src_0003_metric_001,cmp_src_0003,high_rise_or_office,Glaeser & Gyourko (2018) *The Economic Implications of Housing Supply* [DOI: 10.1257/jep.32.1.3],,,,web_or_other,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Asset: Residential | Claim/benchmark to verify: Strict zoning/lack of housing supply reduces local employment growth by up to 36%. | Quality note: High. Proves failing to build housing actively destroys local employment capacity.",,,,,unverified_candidate_source,not_started
cmp_src_0004_metric_001,cmp_src_0004,public_infrastructure_or_methods,Valero & Van Reenen (2019) *The economic impact of universities* [DOI: 10.1016/j.econedurev.2018.09.001],,,,web_or_other,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Asset: University | Claim/benchmark to verify: 10% increase in universities yields 0.4% higher regional GDP. | Quality note: High. Massive global dataset proving universities act as permanent regional growth engines.",,,,,unverified_candidate_source,not_started
cmp_src_0002_metric_001,cmp_src_0002,energy_or_utility,Garrett-Peltier (2017) *Green versus brown...* [DOI: 10.1016/j.econmod.2016.11.012],,,,web_or_other,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Asset: Civic / Green | Claim/benchmark to verify: 7.72 FTE jobs per US$1M (Energy Efficiency) vs lower yields for fossil/industrial. | Quality note: High. Proves retrofitting/building green public assets is highly labour-intensive.",,,,,unverified_candidate_source,not_started
cmp_src_0005_metric_001,cmp_src_0005,energy_or_utility; public_infrastructure_or_methods,"Green versus brown: Comparing the employment impacts of energy efficiency, renewable energy, and fossil fuels using an input-output model",,,2017,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.econmod.2016.11.012,,unverified_candidate_source,not_started
cmp_src_0006_metric_001,cmp_src_0006,unclear_or_methods_only,Leduc & Wilson (2017) *Are State Governments Roadblocks?* [DOI: 10.1257/pol.20150371],,,,government_or_audit,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. Asset: Transport/Civic | Claim/benchmark to verify: US$1M in localized grants creates 1.5 to 3 local job-years. | Quality note: High. Controls for the ""flypaper effect"" to isolate true local job creation.",,,,,unverified_candidate_source,not_started
cmp_src_0007_metric_001,cmp_src_0007,public_infrastructure_or_methods,The economic impact of universities: Evidence from across the globe,,,2019,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.econedurev.2018.09.001,,unverified_candidate_source,not_started
cmp_src_0012_metric_001,cmp_src_0012,public_infrastructure_or_methods,The Economic Impact of a College of Pharmacy,,,2008,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.5688/aj720101,,unverified_candidate_source,not_started
cmp_src_0014_metric_001,cmp_src_0014,unclear_or_methods_only,The macroeconomic effects of public investment: Evidence from advanced economies,,,2016,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1016/j.jmacro.2016.07.005,,unverified_candidate_source,not_started
cmp_src_0013_metric_001,cmp_src_0013,public_infrastructure_or_methods,The Return on Investment of the Guggenheim Museum Bilbao,,,2006,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1111/j.1468-2427.2006.00672.x,,unverified_candidate_source,not_started
cmp_src_0015_metric_001,cmp_src_0015,public_infrastructure_or_methods,Theoretical Analysis on Economic Impacts of Universities on Regional Economies,,,2020,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.11648/j.ijeee.20200505.11,,unverified_candidate_source,not_started
cmp_src_0011_metric_001,cmp_src_0011,public_infrastructure_or_methods,"Supplementary material from: Tumanyants KA, Kuleshov FB, Penikas HI, Zuev VE (2026) Assessment of the impact of financial literacy on inflation expectations based on pseudo‑panel data for Russia. Russian Journal of Economics 12(2): 230-250. https://doi.org/10.32609/j.ruje.12.158069",,,2026.0,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. economic impact assessment | ",,,10.32609/j.ruje.12.158069.suppl1,,unverified_candidate_source,not_started
cmp_src_0009_metric_001,cmp_src_0009,public_infrastructure_or_methods,KNOWLEDGE IMPACTS OF UNIVERSITIES ON INDUSTRY AN AGGREGATE SIMULTANEOUS INVESTMENT MODEL*,,,1992,doi_verified_academic_or_report,,possible_industry_or_consultant_bias,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.1111/j.1467-9787.1992.tb00199.x,,unverified_candidate_source,not_started
cmp_src_0008_metric_001,cmp_src_0008,public_infrastructure_or_methods,"Economic Impacts, Value Added, and Benefits in Regional Project Analysis",,,1991,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.2307/1242718,,unverified_candidate_source,not_started
cmp_src_0010_metric_001,cmp_src_0010,public_infrastructure_or_methods,Socio-Economic Impact of and Adaptation to Extreme Heat and Cold of Farmers in the Food Bowl of Nepal,,,2019,doi_verified_academic_or_report,,,,,,,,,,,,,,,,,,"RA task: open source, verify whether it reports construction jobs, job-years, operational FTE, capex, GFA, MW/capacity, multiplier method, and direct-vs-total job definition. ",,,https://doi.org/10.3390/ijerph16091578,,unverified_candidate_source,not_started
