table_row_id,evidence_id,domain,asset_or_comparator,phase,metric_family,verified_value,metric_definition,direct_vs_total,projected_vs_realised,geography,source,source_page_or_location,review_decision,evidence_role,manuscript_use,caveat_summary,source_url,source_raw_path,spotcheck_required,reason
t1_019,ev_0043,Data centre,data_centre,construction,causal_local_economy_effect,0.858,"% change (long difference) in outcome (employment, payroll, etc.) associated with data center presence (county-level, 1995-2020)",total (causal local economy effect),"realised (econometric, long-run)",United States (county-level panel),Data Centers and Local Economies in the Age of AI (dc_alvarez_nber_2026),12.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,"Scope: total (causal local economy effect) | Basis: realised (econometric, long-run) | Key causal evidence: modest positive employment effects (~0.86% for total emp, higher for data-processing 1.63%); construction emp negative in some specs? Check full table. Data...",https://www.nber.org/papers/w35194,third_party_sources_not_redistributed/Alvarez_2026_NBER_Data_Centers_Local_Economies.pdf,True,"Alvarez NBER Table 1 'Summary statistics': 0.858 is the Std. dev. of %Δ employment (Obs 3,173, Mean 0.212), NOT a causal effect. Re-extract the treatment-effect/DiD coefficients."
t1_020,ev_0044,Data centre,data_centre,construction,causal_local_economy_effect,1.627,"% change (long difference) in outcome (employment, payroll, etc.) associated with data center presence (county-level, 1995-2020)",total (causal local economy effect),"realised (econometric, long-run)",United States (county-level panel),Data Centers and Local Economies in the Age of AI (dc_alvarez_nber_2026),12.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,"Scope: total (causal local economy effect) | Basis: realised (econometric, long-run) | Key causal evidence: modest positive employment effects (~0.86% for total emp, higher for data-processing 1.63%); construction emp negative in some specs? Check full table. Data...",https://www.nber.org/papers/w35194,third_party_sources_not_redistributed/Alvarez_2026_NBER_Data_Centers_Local_Economies.pdf,True,Alvarez NBER summary-stat Std. dev. of %Δ data-processing employment (1.627); not a causal effect.
t1_021,ev_0045,Data centre,data_centre,construction,causal_local_economy_effect,1.53,"% change (long difference) in outcome (employment, payroll, etc.) associated with data center presence (county-level, 1995-2020)",total (causal local economy effect),"realised (econometric, long-run)",United States (county-level panel),Data Centers and Local Economies in the Age of AI (dc_alvarez_nber_2026),12.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,"Scope: total (causal local economy effect) | Basis: realised (econometric, long-run) | Key causal evidence: modest positive employment effects (~0.86% for total emp, higher for data-processing 1.63%); construction emp negative in some specs? Check full table. Data...",https://www.nber.org/papers/w35194,third_party_sources_not_redistributed/Alvarez_2026_NBER_Data_Centers_Local_Economies.pdf,True,Alvarez NBER summary-stat Std. dev. of %Δ construction employment (1.530); not a causal effect.
t1_022,ev_0046,Data centre,data_centre,construction,causal_local_economy_effect,1.039,"% change (long difference) in outcome (employment, payroll, etc.) associated with data center presence (county-level, 1995-2020)",total (causal local economy effect),"realised (econometric, long-run)",United States (county-level panel),Data Centers and Local Economies in the Age of AI (dc_alvarez_nber_2026),12.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,"Scope: total (causal local economy effect) | Basis: realised (econometric, long-run) | Key causal evidence: modest positive employment effects (~0.86% for total emp, higher for data-processing 1.63%); construction emp negative in some specs? Check full table. Data...",https://www.nber.org/papers/w35194,third_party_sources_not_redistributed/Alvarez_2026_NBER_Data_Centers_Local_Economies.pdf,True,Alvarez NBER summary-stat Std. dev. (1.039); not a causal effect.
t1_027,ev_0052,Data centre,data_centre,construction,causal_local_economy_effect,5,Causal ATT (average treatment effect on treated) or % change from data center entry (CS-DID or similar econometric),"total local economy (causal, includes spillovers)",realised (historical county-level data 1995-2020 or recent),United States (various states; specific projects noted in quote),The local economic effects of data center entry (dc_yue_zeng_2026),29.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,"Scope: total local economy (causal, includes spillovers) | Basis: realised (historical county-level data 1995-2020 or recent) | Causal identification paper; effects modest compared to manufacturing. Clustered entry has slightly higher effects.",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6497238,third_party_sources_not_redistributed/Yue_Zeng_2026_Local_Economic_Effects_Data_Center.pdf,True,"Yue & Zeng: '5' is a fragment from the CS-DID heterogeneity table header, not a clean effect size."
t1_034,ev_0060,Data centre,data_centre,construction,investment_scale,4,Mandated apprenticeship duration for licensed electrical trades (pathway for data centre upskilling),,regulated (licensing requirement),Australia (national for licensed trades),Submission to NSW inquiry into data centres (dc_nsw_skills_submission_2026),10.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Basis: regulated (licensing requirement) | Key constraint: time to competency for new workers in electrical/HVAC etc. for DC builds. 65% annual growth in DC investment noted.,https://www.parliament.nsw.gov.au/lcdocs/submissions/95080/0118%20Future%20Skills%20Organisation%20and%20Powering%20Skills%20Organisation.pdf,third_party_sources_not_redistributed/NSW_2026_FSO_PSO_Data_Centres_Submission.pdf,True,"NSW submission: '4' relates to apprenticeship/licensing text, not investment scale. Mis-extracted."
t1_035,ev_0061,Data centre,data_centre,construction,investment_scale,3,,,,Australia (NSW/Sydney focus where specified),Submission to NSW inquiry into data centres (dc_nsw_skills_submission_2026),7.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,"Australian context critical for local job multipliers, skills pipeline, biosecurity/import rules if relevant to user research.",https://www.parliament.nsw.gov.au/lcdocs/submissions/95080/0118%20Future%20Skills%20Organisation%20and%20Powering%20Skills%20Organisation.pdf,third_party_sources_not_redistributed/NSW_2026_FSO_PSO_Data_Centres_Submission.pdf,True,NSW submission: '3' = 'past 3 years' (DC investment grew ~65%/yr; ~12% of non-residential). Value '3' mis-extracted; recover the 65%/12% figures on re-extraction.
t1_039,ev_0073,Data centre,data_centre,lifecycle_or_economy,causal_local_economy_effect,150,Capacity or % effect per source context,,,Per source geography,Subsidizing the Cloud: U.S. State Incentives to Data Centers (dc_gargano_giacoletti_2025),57.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Reviewed from context_quote only; cross-check original PDF for full context and any caveats.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5881105,third_party_sources_not_redistributed/Gargano_Giacoletti_2025_Subsidizing_Cloud.pdf,True,Gargano & Giacoletti: '150' is a fragment from the tax-incentive legislation table; not an employment effect.
t1_040,ev_0074,Data centre,data_centre,lifecycle_or_economy,causal_local_economy_effect,120,Capacity or % effect per source context,,,Per source geography,Subsidizing the Cloud: U.S. State Incentives to Data Centers (dc_gargano_giacoletti_2025),57.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Reviewed from context_quote only; cross-check original PDF for full context and any caveats.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5881105,third_party_sources_not_redistributed/Gargano_Giacoletti_2025_Subsidizing_Cloud.pdf,True,Gargano & Giacoletti: '120' is a fragment from the tax-incentive legislation table; not an employment effect.
t1_049,ev_0093,Comparator asset,energy_or_utility; public_infrastructure_or_methods,construction,job_years_per_gwh,0.15 job-years/GWh (placeholder / conservative for data-sparse renewables),See cmp_metric_0015 (same conservative assumption reiterated).,mixed,projected,,Putting renewables and energy efficiency to work: How many jobs can the clean energy industry generate in the US? (cmp_src_0003),page 5,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: mixed | Basis: projected | ACCEPT but duplicate framing of 0015 conservative placeholder. Page 5. Consolidate in use; reinforces transparency of meta-analysis method for handling evidence gaps.,https://doi.org/10.1016/j.enpol.2009.10.044,third_party_sources_not_redistributed/cmp_src_0003_Putting_renewables_and_energy_efficiency_to_work_How_ma.pdf,True,Comparator (Putting renewables to work): explicit placeholder (0.15 job-years/GWh) and a duplicate of ev_0091; not citable.
