table_row_id,evidence_id,domain,asset_or_comparator,phase,metric_family,verified_value,metric_definition,direct_vs_total,projected_vs_realised,geography,source,source_page_or_location,review_decision,evidence_role,manuscript_use,caveat_summary,source_url,source_raw_path,spotcheck_required
t1_001,ev_0001,Data centre,data_centre,construction,jobs_per_mw,0.7–2.0 (upper: 2.0),Construction workers per MW of capacity (range reported; 2.0 upper bound for typical requirements),direct,typical / industry range (projected),United States (various states; specific projects noted in quote),Data Center Employment Forecast Analysis (dc_hamm_2025),2.0,accept_scale,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: direct | Basis: typical / industry range (projected) | Core general claim. Use 0.7-2.0 range or conservative mid for estimates. Construction phase is temporary stimulus.,https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,True
t1_002,ev_0004,Data centre,data_centre,construction,jobs_per_mw,2.5,Peak construction jobs per MW for specific hyperscale project example (Meta Richland LA: 2.5; Vantage TX: 3.6; OpenAI Stargate TX: 1.3),direct (peak on-site construction workers),announced / projected (developer or contractor estimate),"Louisiana, US (Meta Richland Parish)",Data Center Employment Forecast Analysis (dc_hamm_2025),9.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,"Scope: direct (peak on-site construction workers) | Basis: announced / projected (developer or contractor estimate) | Project-specific example, not general average. Amazon note in source: mixes construction+ops jobs. Use for range illustration only.",https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,True
t1_003,ev_0005,Data centre,data_centre,construction,jobs_per_mw,3.6,Peak construction jobs per MW for specific hyperscale project example (Meta Richland LA: 2.5; Vantage TX: 3.6; OpenAI Stargate TX: 1.3),direct (peak on-site construction workers),announced / projected (developer or contractor estimate),"Texas, US (Vantage Frontier)",Data Center Employment Forecast Analysis (dc_hamm_2025),9.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,"Scope: direct (peak on-site construction workers) | Basis: announced / projected (developer or contractor estimate) | Project-specific example, not general average. Amazon note in source: mixes construction+ops jobs. Use for range illustration only.",https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,True
t1_004,ev_0006,Data centre,data_centre,construction,jobs_per_mw,1.3,Peak construction jobs per MW for specific hyperscale project example (Meta Richland LA: 2.5; Vantage TX: 3.6; OpenAI Stargate TX: 1.3),direct (peak on-site construction workers),announced / projected (developer or contractor estimate),"Texas, US (OpenAI Stargate Abilene)",Data Center Employment Forecast Analysis (dc_hamm_2025),9.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,"Scope: direct (peak on-site construction workers) | Basis: announced / projected (developer or contractor estimate) | Project-specific example, not general average. Amazon note in source: mixes construction+ops jobs. Use for range illustration only.",https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,True
t1_005,ev_0012,Data centre,data_centre,operation,jobs_per_mw,0.25,Operational jobs per MW (Meta examples: ~0.25 job/MW for large campus; or ~1 job/MW campus claim),direct,announced / projected,"Louisiana / Alabama, US (Meta)",Data Center Employment Forecast Analysis (dc_hamm_2025),9.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: direct | Basis: announced / projected | Meta Montgomery AL example also cited. Public claims may include non-core roles per source note.,https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,True
t1_006,ev_0013,Data centre,data_centre,operation,operational_jobs_fte,100,"Operational jobs supported by specific AI-optimized data center project ($800M investment, Meta Montgomery AL example)",direct (or includes support roles per source caveat),announced / projected,"Alabama, US (Meta Montgomery)",Data Center Employment Forecast Analysis (dc_hamm_2025),9.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: direct (or includes support roles per source caveat) | Basis: announced / projected | From source: Meta Montgomery $800M AI DC expected to support 100 operational jobs. Use alongside per-MW metrics; public claims may overstate core O&M.,https://hamminstitute.org/site-files/documents/data_center_workforce.pdf,submission_00/source_pdfs/Hamm_Institute_2025_Data_Center_Employment_Forecast.pdf,True
t1_007,ev_0014,Data centre,data_centre,construction,construction_jobs_headcount,1688,"Total local jobs supported during construction phase of typical large data center ($215.5M capex, 165k sf)",total (direct + indirect + induced local),estimated / modelled (for typical project),United States (national average / typical),Data centers: Jobs and opportunities in communities nationwide (dc_pham_2017),10.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: total (direct + indirect + induced local) | Basis: estimated / modelled (for typical project) | Includes multiplier effects; construction duration 18-24 months confirmed in multiple quotes from source.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2998644,submission_00/source_pdfs/Pham_2017_Data_Centers_Jobs_Opportunities.pdf,True
t1_008,ev_0015,Data centre,data_centre,operation,operational_jobs_fte,30–100,Permanent operational workers for typical hyperscale data center ($500M–$1B capex),direct,typical (literature/observed),United States (various states; specific projects noted in quote),The local economic effects of data center entry (dc_yue_zeng_2026),5.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,"Scope: direct | Basis: typical (literature/observed) | Source emphasizes far fewer permanent workers than manufacturing plant of similar capex ($500M auto plant ~2,000 jobs). Key for comparison.",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6497238,submission_00/source_pdfs/Yue_Zeng_2026_Local_Economic_Effects_Data_Center.pdf,True
t1_009,ev_0018,Data centre,data_centre,operation,operational_jobs_fte,50,Permanent operational workers (~50) for USD 500M facility; descriptive comparison (not causal ATT),direct,realised (historical county-level data 1995-2020 or recent),United States (various states; specific projects noted in quote),The local economic effects of data center entry (dc_yue_zeng_2026),7.0,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,"CORRECTED 2026-06-29: descriptive facility headcount from Yue & Zeng, not causal ATT. ",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6497238,submission_00/source_pdfs/Yue_Zeng_2026_Local_Economic_Effects_Data_Center.pdf,True
t1_010,ev_0020,Data centre,data_centre,construction,construction_jobs_headcount,1500,Peak on-site construction workers for an individual data center building (VA representative),direct (various construction trades),realised / reported (at height of construction),"Virginia, US",Data Centers in Virginia (dc_jlarc_virginia_2024),,accept,primary_citable_after_spotcheck,Primary quantitative evidence after source spot-check,Scope: direct (various construction trades) | Basis: realised / reported (at height of construction) | Construction duration 12-18 months typical. Good policy/audit source for peak workforce claims.,https://jlarc.virginia.gov/landing-2024-data-centers-in-virginia.asp,submission_00/source_pdfs/JLARC_2024_Data_Centers_in_Virginia.pdf,True
