doi,title,year,container,authors,URL,source
10.1002/gj.4712,"Do green finance, low‐carbon energy transition, and economic growth help in environmental investment?: Empirical evidence from emerging economies in Asia",2023,Geological Journal,Samira Ben Belgacem; Nawal Abdalla Adam; Ghousia Khatoon; Puja Sunil Pawar,https://doi.org/10.1002/gj.4712,crossref
10.1002/pmj.21409,What you Should Know about Megaprojects and Why: An Overview,2014,Project Management Journal,Bent Flyvbjerg,https://doi.org/10.1002/pmj.21409,crossref
10.1007/978-3-319-74636-4,Energy Law and Economics,2018,,,https://doi.org/10.1007/978-3-319-74636-4,crossref
10.1007/s10668-024-04513-9,"Impact of financial inclusion, economic growth, natural resource rents, and natural energy use on carbon emissions: the MMQR approach",2024,"Environment, Development and Sustainability",Teining Shang; Ahmed Samour; Jawad Abbas; Mumtaz Ali; Turgut Tursoy,https://doi.org/10.1007/s10668-024-04513-9,crossref
10.1007/s11356-018-1753-4,"Impact of economic growth, nonrenewable and renewable energy consumption, and urbanization on carbon emissions in Sub-Saharan Africa",2018,Environmental Science and Pollution Research,Imran Hanif,https://doi.org/10.1007/s11356-018-1753-4,crossref
10.1007/s12053-017-9528-1,The additional benefits of energy efficiency investments—a systematic literature review and a framework for categorisation,2017,Energy Efficiency,Josefine Rasmussen,https://doi.org/10.1007/s12053-017-9528-1,crossref
10.1007/s12351-022-00727-9,A data-driven multicriteria decision making tool for assessing investments in energy efficiency,2022,Operational Research,Elissaios Sarmas; Vangelis Marinakis; Haris Doukas,https://doi.org/10.1007/s12351-022-00727-9,crossref
10.1007/s13369-011-0076-2,Investigation of the Capacity of Underground Water Pumping Using Wind Energy in Dhahran,2011,Arabian Journal for Science and Engineering,Ahmet Z. Sahin; Ahmet Bolat; Abdulrahman Al-Ahmari,https://doi.org/10.1007/s13369-011-0076-2,crossref
10.1007/s43621-024-00295-2,Smart home energy management systems in India: a socio-economic commitment towards a green future,2024,Discover Sustainability,Thomas George; A. Immanuel Selvakumar,https://doi.org/10.1007/s43621-024-00295-2,crossref
10.1016/0140-9883(86)90033-2,The demand for energy in the UK,1986,Energy Economics,Michael Beenstock; Alan Dalziel,https://doi.org/10.1016/0140-9883(86)90033-2,crossref
10.1016/b978-0-444-59531-7.00018-1,Place-Based Policies,2015,Handbook of Regional and Urban Economics,,https://doi.org/10.1016/b978-0-444-59531-7.00018-1,crossref
10.1016/j.apenergy.2014.10.066,Energy saving potential of various air-side economizers in a modular data center,2015,Applied Energy,Sang-Woo Ham; Min-Hwi Kim; Byung-Nam Choi; Jae-Weon Jeong,https://doi.org/10.1016/j.apenergy.2014.10.066,crossref
10.1016/j.apenergy.2016.04.082,Optimum community energy storage system for demand load shifting,2016,Applied Energy,David Parra; Stuart A. Norman; Gavin S. Walker; Mark Gillott,https://doi.org/10.1016/j.apenergy.2016.04.082,crossref
10.1016/j.apenergy.2016.12.127,Electrical hubs: An effective way to integrate non-dispatchable renewable energy sources with minimum impact to the grid,2017,Applied Energy,A.T.D. Perera; Vahid M. Nik; Dasaraden Mauree; Jean-Louis Scartezzini,https://doi.org/10.1016/j.apenergy.2016.12.127,crossref
10.1016/j.apenergy.2016.12.144,Multiple community energy storage planning in distribution networks using a cost-benefit analysis,2017,Applied Energy,Junainah Sardi; N. Mithulananthan; M. Gallagher; Duong Quoc Hung,https://doi.org/10.1016/j.apenergy.2016.12.144,crossref
10.1016/j.apenergy.2017.05.103,Microgrid to enable optimal distributed energy retail and end-user demand response,2018,Applied Energy,Ming Jin; Wei Feng; Chris Marnay; Costas Spanos,https://doi.org/10.1016/j.apenergy.2017.05.103,crossref
10.1016/j.apenergy.2017.06.066,Optimal residential community demand response scheduling in smart grid,2018,Applied Energy,Sibo Nan; Ming Zhou; Gengyin Li,https://doi.org/10.1016/j.apenergy.2017.06.066,crossref
10.1016/j.apenergy.2017.07.121,Techno-economic analysis of energy efficiency improvement in electric motor driven systems in Swiss industry,2017,Applied Energy,M. Jibran S. Zuberi; Anton Tijdink; Martin K. Patel,https://doi.org/10.1016/j.apenergy.2017.07.121,crossref
10.1016/j.apenergy.2017.10.096,Techno-economic analysis of household and community energy storage for residential prosumers with smart appliances,2018,Applied Energy,Sander van der Stelt; Tarek AlSkaif; Wilfried van Sark,https://doi.org/10.1016/j.apenergy.2017.10.096,crossref
10.1016/j.apenergy.2018.05.097,Peer-to-peer energy sharing through a two-stage aggregated battery control in a community Microgrid,2018,Applied Energy,Chao Long; Jianzhong Wu; Yue Zhou; Nick Jenkins,https://doi.org/10.1016/j.apenergy.2018.05.097,crossref
10.1016/j.apenergy.2018.07.012,Energy Demand Side Management within micro-grid networks enhanced by blockchain,2018,Applied Energy,Sana Noor; Wentao Yang; Miao Guo; Koen H. van Dam; Xiaonan Wang,https://doi.org/10.1016/j.apenergy.2018.07.012,crossref
10.1016/j.apenergy.2018.08.121,Understanding spatio-temporal electricity demand at different urban scales: A data-driven approach,2018,Applied Energy,Nina Voulis; Martijn Warnier; Frances M.T. Brazier,https://doi.org/10.1016/j.apenergy.2018.08.121,crossref
10.1016/j.apenergy.2018.09.151,Multi-objective optimization of a neighborhood-level urban energy network: Considering Game-theory inspired multi-benefit allocation constraints,2018,Applied Energy,Rui Jing; Meng Wang; Hao Liang; Xiaonan Wang; Ning Li; Nilay Shah; Yingru Zhao,https://doi.org/10.1016/j.apenergy.2018.09.151,crossref
10.1016/j.apenergy.2019.04.106,Optimal coordinated operation of a multi-energy community considering interactions between energy storage and conversion devices,2019,Applied Energy,Xuezhi Liu; Zheng Yan; Jianzhong Wu,https://doi.org/10.1016/j.apenergy.2019.04.106,crossref
10.1016/j.apenergy.2019.113424,Distributed or centralized? Designing district-level urban energy systems by a hierarchical approach considering demand uncertainties,2019,Applied Energy,Rui Jing; Meng Wang; Zhihui Zhang; Xiaonan Wang; Ning Li; Nilay Shah; Yingru Zhao,https://doi.org/10.1016/j.apenergy.2019.113424,crossref
10.1016/j.apenergy.2019.114199,Large-scale industrial energy systems optimization under uncertainty: A data-driven robust optimization approach,2020,Applied Energy,Feifei Shen; Liang Zhao; Wenli Du; Weimin Zhong; Feng Qian,https://doi.org/10.1016/j.apenergy.2019.114199,crossref
10.1016/j.apenergy.2019.114327,A distributed Peer-to-Peer energy transaction method for diversified prosumers in Urban Community Microgrid System,2020,Applied Energy,Zibo Wang; Xiaodan Yu; Yunfei Mu; Hongjie Jia,https://doi.org/10.1016/j.apenergy.2019.114327,crossref
10.1016/j.apenergy.2019.114416,Machine-learning based hybrid demand-side controller for high-rise office buildings with high energy flexibilities,2020,Applied Energy,Yuekuan Zhou; Siqian Zheng,https://doi.org/10.1016/j.apenergy.2019.114416,crossref
10.1016/j.apenergy.2020.116172,Analysis on impact of shared energy storage in residential community: Individual versus shared energy storage,2021,Applied Energy,Awnalisa Walker; Soongeol Kwon,https://doi.org/10.1016/j.apenergy.2020.116172,crossref
10.1016/j.apenergy.2021.116773,Coupling biogeochemical simulation and mathematical optimisation towards eco-industrial energy systems design,2021,Applied Energy,Rui Jing; Yubing Li; Meng Wang; Benoit Chachuat; Jianyi Lin; Miao Guo,https://doi.org/10.1016/j.apenergy.2021.116773,crossref
10.1016/j.apenergy.2021.117088,An iterative uniform-price auction mechanism for peer-to-peer energy trading in a community microgrid,2021,Applied Energy,Shuang Xu; Yong Zhao; Yuanzheng Li; Yue Zhou,https://doi.org/10.1016/j.apenergy.2021.117088,crossref
10.1016/j.apenergy.2021.117129,Peer-to-peer energy sharing with battery storage: Energy pawn in the smart grid,2021,Applied Energy,Li He; Yuanzhi Liu; Jie Zhang,https://doi.org/10.1016/j.apenergy.2021.117129,crossref
10.1016/j.apenergy.2021.117579,Unlocking emerging impacts of carbon tax on integrated energy systems through supply and demand co-optimization,2021,Applied Energy,Meng Wang; Hang Yu; Yikun Yang; Xiaoyu Lin; Haijin Guo; Chaoen Li; Yue Zhou; Rui Jing,https://doi.org/10.1016/j.apenergy.2021.117579,crossref
10.1016/j.apenergy.2021.118148,Data-driven adaptive robust optimization for energy systems in ethylene plant under demand uncertainty,2022,Applied Energy,Feifei Shen; Liang Zhao; Meihong Wang; Wenli Du; Feng Qian,https://doi.org/10.1016/j.apenergy.2021.118148,crossref
10.1016/j.apenergy.2022.119033,Optimal fuzzy based economic emission dispatch of combined heat and power units using dynamically controlled Whale Optimization Algorithm,2022,Applied Energy,Vinay Kumar Jadoun; G Rahul Prashanth; Siddharth Suhas Joshi; K. Narayanan; Hasmat Malik; Fausto Pedro García Márquez,https://doi.org/10.1016/j.apenergy.2022.119033,crossref
10.1016/j.apenergy.2022.119160,Shared community energy storage allocation and optimization,2022,Applied Energy,Hsiu-Chuan Chang; Bissan Ghaddar; Jatin Nathwani,https://doi.org/10.1016/j.apenergy.2022.119160,crossref
10.1016/j.apenergy.2022.119596,"A comprehensive review on energy management, demand response, and coordination schemes utilization in multi-microgrids network",2022,Applied Energy,Arshad Nawaz; Min Zhou; Jing Wu; Chengnian Long,https://doi.org/10.1016/j.apenergy.2022.119596,crossref
10.1016/j.apenergy.2022.120300,Relaxed deep generative adversarial networks for real-time economic smart generation dispatch and control of integrated energy systems,2023,Applied Energy,Linfei Yin; Bin Zhang,https://doi.org/10.1016/j.apenergy.2022.120300,crossref
10.1016/j.apenergy.2023.120830,"Forecast energy demand, CO2 emissions and energy resource impacts for the transportation sector",2023,Applied Energy,M. Emami Javanmard; Y. Tang; Z. Wang; P. Tontiwachwuthikul,https://doi.org/10.1016/j.apenergy.2023.120830,crossref
