spotcheck_id,table_row_id,evidence_id,reviewer,review_date,pass_fail,notes
sc_chk_001,t1_001,ev_0001,Codex local source audit,2026-06-29,pass,Verified against source-context quote in comparative_evidence_primary_table.csv. Source location: 2.0.
sc_chk_002,t1_002,ev_0004,Codex local source audit,2026-06-29,pass,Verified against source-context quote in comparative_evidence_primary_table.csv. Source location: 9.0.
sc_chk_003,t1_003,ev_0005,Codex local source audit,2026-06-29,pass,Verified against source-context quote in comparative_evidence_primary_table.csv. Source location: 9.0.
sc_chk_004,t1_004,ev_0006,Codex local source audit,2026-06-29,pass,Verified against source-context quote in comparative_evidence_primary_table.csv. Source location: 9.0.
sc_chk_005,t1_005,ev_0012,Codex local source audit,2026-06-29,pass,Verified against source-context quote in comparative_evidence_primary_table.csv. Source location: 9.0.
sc_chk_006,t1_006,ev_0013,Codex local source audit,2026-06-29,pass,Verified against source-context quote in comparative_evidence_primary_table.csv. Use with stated caveat/provenance label. Source location: 9.0.
sc_chk_007,t1_007,ev_0014,Codex local source audit,2026-06-29,pass,Verified against source-context quote in comparative_evidence_primary_table.csv. Source location: 10.0.
sc_chk_008,t1_008,ev_0015,Codex local source audit,2026-06-29,pass,Verified against source-context quote in comparative_evidence_primary_table.csv. Source location: 5.0.
sc_chk_009,t1_009,ev_0018,Codex local source audit,2026-06-29,pass,"CORRECTED 2026-06-29: descriptive facility headcount, not causal ATT. Verified against source-context quote in comparative_evidence_primary_table.csv. Source location: 7.0."
sc_chk_010,t1_010,ev_0020,Codex local source audit,2026-06-29,pass,Verified against source-context quote in comparative_evidence_primary_table.csv. No page number in source queue; source quote/source URL retained for traceability.
sc_chk_011,t1_011,ev_0025,Codex local source audit,2026-06-29,pass,Verified against source-context quote in comparative_evidence_primary_table.csv. Use with stated caveat/provenance label. Source location: 1.0.
sc_chk_012,t1_012,ev_0027,Codex local source audit,2026-06-29,pass,Verified against source-context quote in comparative_evidence_primary_table.csv. Source location: 3.0.
sc_chk_013,t1_013,ev_0029,Codex local source audit,2026-06-29,pass,Verified against source-context quote in comparative_evidence_primary_table.csv. Use with stated caveat/provenance label. Source location: 10.0.
sc_chk_014,t1_014,ev_0047,Codex local source audit,2026-06-29,pass,Verified against source-context quote in comparative_evidence_primary_table.csv. Use with stated caveat/provenance label. Source location: 5.0.
sc_chk_015,t1_015,ev_0048,Codex local source audit,2026-06-29,pass,Verified against source-context quote in comparative_evidence_primary_table.csv. Use with stated caveat/provenance label. Source location: 6.0.
sc_chk_016,t1_016,ev_0051,Codex local source audit,2026-06-29,pass,Verified against source-context quote in comparative_evidence_primary_table.csv. Source location: 9.0.
