triage_id,dedupe_key,title,year,container_or_repository,authors_or_creators,doi,url,source_origin,evidence_note,citation_audit_status,relevance_score,score_reason,asset_type_guess,evidence_role_guess,source_type_guess,funding_or_bias_flag,priority,include_for_RA,ra_next_action
cmp_src_0001,n/a (state audit),Nevada GOED (2018/2024),,final synthesis evidence table,,,N/A (State Audit),final_synthesis_master_table,"Asset: Battery Gigafactory (Tesla) | Claim/benchmark to verify: Realized 34/66 building-to-equipment capex split. 9,474 qualified ops jobs. ~1,167 jobs/$1B capex. | Quality note: High (Ex-post statutory audit; low risk of bias)",,19,appears in final synthesis evidence table; asset-class keywords found; employment/capex/normalisation keywords found; authoritative or scholarly source hint,advanced_manufacturing_or_fab,capex; realised_or_audit,web_or_other,,high,True,verify cited benchmark and extract metric/page
cmp_src_0002,10.1002/pmj.21409,What you Should Know about Megaprojects and Why: An Overview,2014,Project Management Journal,Bent Flyvbjerg,10.1002/pmj.21409,https://doi.org/10.1002/pmj.21409,final_synthesis_master_table; verified_sources,Asset: Megaprojects | Claim/benchmark to verify: Projects >$1B systematically overestimate economic benefits and underestimate costs. | Quality note: High (Peer-reviewed academic),verified,18,appears in final synthesis evidence table; citation audit verified; has DOI; authoritative or scholarly source hint,unclear_or_methods_only,capex,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0003,n/a (state report),Empire State Dev. (2022),,final synthesis evidence table,,,N/A (State Report),final_synthesis_master_table,Asset: Semiconductor (Micron) | Claim/benchmark to verify: $99.6B capex. Phase 2 equipment-to-building ratio is 4.20:1. 90 jobs/$1B capex. | Quality note: Medium (Ex-ante I-O model; high risk of multiplier inflation),,16,appears in final synthesis evidence table; asset-class keywords found; employment/capex/normalisation keywords found,advanced_manufacturing_or_fab; public_infrastructure_or_methods,capex; method_or_multiplier,web_or_other,,high,True,verify cited benchmark and extract metric/page
cmp_src_0004,faraday.ac.uk,Faraday Institution (2024),,final synthesis evidence table,,,faraday.ac.uk,final_synthesis_master_table,Asset: Battery Sector | Claim/benchmark to verify: Average of 180 direct manufacturing jobs per GWh of annual capacity. | Quality note: Medium (Professional body benchmark),,16,appears in final synthesis evidence table; asset-class keywords found; employment/capex/normalisation keywords found,advanced_manufacturing_or_fab,capacity_mw,web_or_other,,high,True,verify cited benchmark and extract metric/page
cmp_src_0005,nist.gov,U.S. DOC (2024),,final synthesis evidence table,,,nist.gov,final_synthesis_master_table,"Asset: Semiconductor (Intel Ocotillo) | Claim/benchmark to verify: $32B capex; 3,000 peak construction; 3,000 ops jobs. ~93 jobs/$1B capex. | Quality note: High (Ex-ante NEPA EA; rigorous methodology)",,16,appears in final synthesis evidence table; asset-class keywords found; employment/capex/normalisation keywords found,advanced_manufacturing_or_fab,capex,government_or_audit,,high,True,verify cited benchmark and extract metric/page
cmp_src_0006,energy.gov,U.S. DOE (2023),,final synthesis evidence table,,,energy.gov,final_synthesis_master_table,"Asset: Battery (BlueOval SK) | Claim/benchmark to verify: 3,500-4,000 peak construction workers; 75-80% imported labor leakage. 5,000 ops jobs. | Quality note: High (Ex-ante NEPA EA; rigorous methodology)",,16,appears in final synthesis evidence table; asset-class keywords found; employment/capex/normalisation keywords found,advanced_manufacturing_or_fab,construction_jobs,government_or_audit,,high,True,verify cited benchmark and extract metric/page
cmp_src_0007,10.1016/j.autcon.2022.104185,Financial management of construction projects: Hyperledger fabric and chaincode solutions,2022,Automation in Construction,Faris Elghaish; Farzad Pour Rahimian; M. Reza Hosseini; David Edwards; Mark Shelbourn,10.1016/j.autcon.2022.104185,https://doi.org/10.1016/j.autcon.2022.104185,verified_sources,,verified,15,citation audit verified; has DOI; asset-class keywords found; employment/capex/normalisation keywords found,advanced_manufacturing_or_fab,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0008,10.1257/aer.100.2.373,Local Multipliers,2010,American Economic Review,Enrico Moretti,10.1257/aer.100.2.373,https://doi.org/10.1257/aer.100.2.373,verified_sources,,verified,15,citation audit verified; has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,method_or_multiplier,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0009,10.1016/j.jclepro.2024.141903,Assessment and regression of carbon emissions from the building and construction sector in China: A provincial study using machine learning,2024,Journal of Cleaner Production,Xiaocun Zhang; Jiayue Sun; Xueqi Zhang; Fenglai Wang,10.1016/j.jclepro.2024.141903,https://doi.org/10.1016/j.jclepro.2024.141903,verified_sources,,,14,has DOI; asset-class keywords found; employment/capex/normalisation keywords found; authoritative or scholarly source hint,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0010,10.1016/j.jenvman.2011.03.039,The effect of environmental regulation on firms’ competitive performance: The case of the building &amp; construction sector in some EU regions,2011,Journal of Environmental Management,Francesco Testa; Fabio Iraldo; Marco Frey,10.1016/j.jenvman.2011.03.039,https://doi.org/10.1016/j.jenvman.2011.03.039,verified_sources,,,14,has DOI; asset-class keywords found; employment/capex/normalisation keywords found; authoritative or scholarly source hint,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0011,10.1016/j.est.2021.103607,Understand technological innovation investment performance: Evolution of industry-university-research cooperation for technological innovation of lithium-ion storage battery in China,2022,Journal of Energy Storage,Ganlin Pu; Xinman Zhu; Jie Dai; Xihui Chen,10.1016/j.est.2021.103607,https://doi.org/10.1016/j.est.2021.103607,verified_sources,,,14,has DOI; asset-class keywords found; employment/capex/normalisation keywords found; authoritative or scholarly source hint,advanced_manufacturing_or_fab,capex,doi_verified_academic_or_report,possible_industry_or_consultant_bias,high,True,verify cited benchmark and extract metric/page
cmp_src_0012,10.5281/zenodo.21005482,A Strategic Framework for Copyright-Free Science: Dismantling Publishing Monopolies in the Knowledge Commons,2026.0,Zenodo,"Brewer, Mark Anthony",10.5281/zenodo.21005482,https://zenodo.org/doi/10.5281/zenodo.21005482,datasets,economic impact assessment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0013,10.5281/zenodo.21005483,A Strategic Framework for Copyright-Free Science: Dismantling Publishing Monopolies in the Knowledge Commons,2026.0,Zenodo,"Brewer, Mark Anthony",10.5281/zenodo.21005483,https://zenodo.org/doi/10.5281/zenodo.21005483,datasets,economic impact assessment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0014,10.1016/j.inffus.2024.102423,"Artificial intelligence for production, operations and logistics management in modular construction industry: A systematic literature review",2024,Information Fusion,Qiurui Liu; Yanfang Ma; Lin Chen; Witold Pedrycz; Mirosław J. Skibniewski; Zhen-Song Chen,10.1016/j.inffus.2024.102423,https://doi.org/10.1016/j.inffus.2024.102423,verified_sources,,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,warehouse_or_logistics,context_only,doi_verified_academic_or_report,possible_industry_or_consultant_bias,high,True,verify cited benchmark and extract metric/page
cmp_src_0015,10.3390/su16135681,Assessment and Driving Factors of Embodied Carbon Emissions in the Construction Sector: Evidence from 2005 to 2021 in Northeast China,2024,Sustainability,Xujie Sun; Xiaocun Zhang,10.3390/su16135681,https://doi.org/10.3390/su16135681,verified_sources,,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0016,10.1016/j.autcon.2010.06.007,Automatic reconstruction of as-built building information models from laser-scanned point clouds: A review of related techniques,2010,Automation in Construction,Pingbo Tang; Daniel Huber; Burcu Akinci; Robert Lipman; Alan Lytle,10.1016/j.autcon.2010.06.007,https://doi.org/10.1016/j.autcon.2010.06.007,verified_sources,,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,data_centre_benchmark,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0017,10.5281/zenodo.21114193,BoneLoss-PAN769: Expert-Annotated Panoramic Radiograph Dataset for Periodontal Bone-Loss Assessment,2026.0,Zenodo,"Alves Vieira de Matos, Thiago Vieira; Donato Bauman, João; Ramos, Lopes Julia Maria; da Cunha Vitareli, Thais Cristina; Castro, Antônio José Ribeiro; Tirapelli, Camila",10.5281/zenodo.21114193,10.5281/zenodo.21114193,datasets,economic impact assessment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0018,10.3886/icpsr00034,"Comparative Socio-Economic, Public Policy, and Political Data,1900-1960",1984.0,ICPSR - Interuniversity Consortium for Political and Social Research,"Hofferbert, Richard I.",10.3886/icpsr00034,https://www.icpsr.umich.edu/web/ICPSR/studies/34,datasets,jobs per million investment | ,verified,11,citation audit verified; has DOI; employment/capex/normalisation keywords found,unclear_or_methods_only,capex,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0019,10.5281/zenodo.21028567,"Comprehensive Topographic and Land Use Survey of Areas 1 and 2 at the University of São Paulo, São Carlos Campus, Brazil, Using Metashape and GIS",2026.0,Zenodo,"Marinho e Silva, Gabriel; Mendiondo, Eduardo Mario",10.5281/zenodo.21028567,10.5281/zenodo.21028567,datasets,economic impact assessment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0020,10.5281/zenodo.21120056,Dataset Impact of IoT-Based Flood Monitoring Applications on User Satisfaction: A Case Study of Flood-Prone Zones in Indonesia.,2026.0,Zenodo,"Forenzo, Vittorio",10.5281/zenodo.21120056,10.5281/zenodo.21120056,datasets,economic impact assessment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0021,10.1016/j.enpol.2009.05.015,Employment benefits of electricity generation: A comparative assessment of lignite and natural gas power plants in Greece,2009,Energy Policy,C. Tourkolias; S. Mirasgedis; D. Damigos; D. Diakoulaki,10.1016/j.enpol.2009.05.015,https://doi.org/10.1016/j.enpol.2009.05.015,verified_sources,,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,energy_or_utility,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0022,10.1016/j.resconrec.2013.10.015,Environmental and economic impact assessment of construction and demolition waste disposal using system dynamics,2014,"Resources, Conservation and Recycling",Mohamed Marzouk; Shimaa Azab,10.1016/j.resconrec.2013.10.015,https://doi.org/10.1016/j.resconrec.2013.10.015,verified_sources,,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0023,10.5281/zenodo.17556692,GLAM – The Global Impact Assessment Method – BETA,2026.0,Zenodo,"Kaplan, Eléonore; Boivent, Solène; Dorber, Martin; Jolliet, Olivier",10.5281/zenodo.17556692,https://zenodo.org/doi/10.5281/zenodo.17556692,datasets,economic impact assessment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
cmp_src_0024,10.4232/1.14731,German Longitudinal Environmental Study (GLEN),2026.0,GESIS,GLEN,10.4232/1.14731,https://search.gesis.org/research_data/ZA9085?doi=10.4232/1.14731,datasets,economic impact assessment | ,,11,has DOI; asset-class keywords found; employment/capex/normalisation keywords found,public_infrastructure_or_methods,context_only,doi_verified_academic_or_report,,high,True,verify cited benchmark and extract metric/page
