doi,status,title,year,url
10.1002/pmj.21409,verified,What you Should Know about Megaprojects and Why: An Overview,2014,https://doi.org/10.1002/pmj.21409
10.1016/j.autcon.2022.104185,verified,Financial management of construction projects: Hyperledger fabric and chaincode solutions,2022,https://doi.org/10.1016/j.autcon.2022.104185
10.1086/663986,invalid,,,
10.1093/qje/qjt034,verified,"Local Economic Development, Agglomeration Economies, and the Big Push: 100 Years of Evidence from the Tennessee Valley Authority *",2013,https://doi.org/10.1093/qje/qjt034
10.1257/aer.100.2.373,verified,Local Multipliers,2010,https://doi.org/10.1257/aer.100.2.373
10.1257/jep.34.3.90,invalid,,,
10.1285/i20705948v15n3p646,invalid,,,
10.1353/eca.0.0004,verified,Editors’ Summary,2008,https://doi.org/10.1353/eca.0.0004
10.1353/eca.2023.a909170,invalid,,,
10.1594/pangaea.969572,invalid,,,
10.17632/yf9jppy5h4.2,invalid,,,
10.3886/icpsr00034,verified,"Comparative Socio-Economic, Public Policy, and Political Data,1900-1960",1984,https://doi.org/10.3886/icpsr00034
10.3886/icpsr39247,invalid,,,
10.5281/zenodo.17729852,invalid,,,
10.5281/zenodo.18327825,invalid,,,
10.5281/zenodo.20716405,invalid,,,
10.5281/zenodo.20721172,invalid,,,
10.5281/zenodo.20807462,invalid,,,
10.5281/zenodo.21024220,invalid,,,
10.5281/zenodo.21113395,invalid,,,
10.5281/zenodo.21115261,invalid,,,
10.7910/dvn/k3p78r,invalid,,,
