doi,title,year,container,authors,URL,source
10.1002/jae.616,Bounds testing approaches to the analysis of level relationships,2001,Journal of Applied Econometrics,M. Hashem Pesaran; Yongcheol Shin; Richard J. Smith,https://doi.org/10.1002/jae.616,crossref
10.1002/jci3.70004,Investing in Public Infrastructure in the Philippines: An Input‐Output Analysis,2025,Journal of Critical Infrastructure Policy,Emmanuel M. Preña; Philip Arnold P. Tuaño,https://doi.org/10.1002/jci3.70004,crossref
10.1002/pmj.21409,What you Should Know about Megaprojects and Why: An Overview,2014,Project Management Journal,Bent Flyvbjerg,https://doi.org/10.1002/pmj.21409,crossref
10.1002/pmj.21573,"<i>Project Management Journal</i>
® Author Guidelines",2016,Project Management Journal,,https://doi.org/10.1002/pmj.21573,crossref
10.1006/jcec.2000.1693,Infrastructure Development and Economic Growth: An Explanation for Regional Disparities in China?,2001,Journal of Comparative Economics,Sylvie Démurger,https://doi.org/10.1006/jcec.2000.1693,crossref
10.1007/978-3-030-33447-5,Rethinking Input-Output Analysis,2019,SpringerBriefs in Regional Science,Jan Oosterhaven,https://doi.org/10.1007/978-3-030-33447-5,crossref
10.1007/978-3-319-10831-5_20,A Cooperative System of GIS and BIM for Traffic Planning: A High-Rise Building Case Study,2014,Lecture Notes in Computer Science,Jun Wang; Lei Hou; Heap-Yih Chong; Xin Liu; Xiangyu Wang; Jun Guo,https://doi.org/10.1007/978-3-319-10831-5_20,crossref
10.1007/s10584-019-02441-6,The impact of weather on economic growth and its production factors,2019,Climatic Change,Martin Henseler; Ingmar Schumacher,https://doi.org/10.1007/s10584-019-02441-6,crossref
10.1007/s11116-011-9349-6,Transport infrastructure and regional economic growth: evidence from China,2011,Transportation,Junjie Hong; Zhaofang Chu; Qiang Wang,https://doi.org/10.1007/s11116-011-9349-6,crossref
10.1007/s11356-022-23356-3,"The relationship between CO2 emissions, economic growth, available energy, and employment in SEE countries",2022,Environmental Science and Pollution Research,Petar Mitić; Aleksandra Fedajev; Magdalena Radulescu; Abdul Rehman,https://doi.org/10.1007/s11356-022-23356-3,crossref
10.1007/s11356-023-26812-w,"Revisiting the environmental impact of renewable energy, non-renewable energy, remittances, and economic growth: CO2 emissions versus ecological footprint for top remittance-receiving countries",2023,Environmental Science and Pollution Research,Muhammad Umair; Muhammad Uzair Yousuf; Jabbar Ul-Haq; Zahid Hussain; Hubert Visas,https://doi.org/10.1007/s11356-023-26812-w,crossref
10.1007/s12199-015-0478-y,Input–output analysis on the economic impact of medical care in Japan,2015,Environmental Health and Preventive Medicine,Go Yamada; Yuichi Imanaka,https://doi.org/10.1007/s12199-015-0478-y,crossref
10.1007/s42495-021-00074-1,"The impact of remittance inflows on economic growth, unemployment and income inequality: An international evidence",2021,International Journal of Economic Policy Studies,Shreya Pal; Muhammed Ashiq Villanthenkodath; Gupteswar Patel; Mantu Kumar Mahalik,https://doi.org/10.1007/s42495-021-00074-1,crossref
10.1007/s43621-025-01087-y,Analyzing the impact of remittance and electricity consumption on ecological footprint in South Asia: the role of globalization using panel ARDL and MMQR method,2025,Discover Sustainability,Md Nazmus Sadekin,https://doi.org/10.1007/s43621-025-01087-y,crossref
10.1016/0166-0462(94)02080-z,Infrastructure in a structural model of economic growth,1995,Regional Science and Urban Economics,Douglas Holtz-Eakin; Amy Ellen Schwartz,https://doi.org/10.1016/0166-0462(94)02080-z,crossref
10.1016/0304-3932(89)90047-0,Is public expenditure productive?,1989,Journal of Monetary Economics,David Alan Aschauer,https://doi.org/10.1016/0304-3932(89)90047-0,crossref
10.1016/0304-3932(93)90025-b,Fiscal policy and economic growth,1993,Journal of Monetary Economics,William Easterly; Sergio Rebelo,https://doi.org/10.1016/0304-3932(93)90025-b,crossref
10.1016/0920-5489(94)90017-5,Advanced supervised learning in multi-layer perceptrons — From backpropagation to adaptive learning algorithms,1994,Computer Standards &amp; Interfaces,Martin Riedmiller,https://doi.org/10.1016/0920-5489(94)90017-5,crossref
10.1016/j.apenergy.2011.03.009,Experimental analysis of model predictive control for an energy efficient building heating system,2011,Applied Energy,Jan Široký; Frauke Oldewurtel; Jiří Cigler; Samuel Prívara,https://doi.org/10.1016/j.apenergy.2011.03.009,crossref
10.1016/j.apenergy.2015.10.049,Green growth: The economic impacts of large-scale renewable energy development in China,2016,Applied Energy,Hancheng Dai; Xuxuan Xie; Yang Xie; Jian Liu; Toshihiko Masui,https://doi.org/10.1016/j.apenergy.2015.10.049,crossref
10.1016/j.apenergy.2018.09.032,Employment creation in EU related to renewables expansion,2018,Applied Energy,Panagiotis Fragkos; Leonidas Paroussos,https://doi.org/10.1016/j.apenergy.2018.09.032,crossref
